                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1003,                 1.1243,                 1.4729,                0.88707,                0.74243,                0.83861,                 0.4704,                 1.5128,                 1.1187,                 1.8219,               0.008416,               0.008416,               0.008416
                     50,                 1.1158,                 1.1102,                 1.4763,                0.78498,                0.68376,                 0.7703,                0.41921,                 1.5576,                 1.6161,                 1.8808,               0.008383,               0.008383,               0.008383
                     51,                 1.1047,                  1.112,                 1.4771,                0.68659,                0.72726,                  0.767,                0.36818,                 1.5999,                 1.3189,                 1.9733,                0.00835,                0.00835,                0.00835
                     52,                 1.1128,                  1.144,                 1.4846,                0.77406,                0.70436,                0.75165,                0.40592,                 1.6394,                 1.3512,                 1.9724,               0.008317,               0.008317,               0.008317
                     53,                 1.1428,                 1.1589,                 1.5123,                0.76633,                0.75452,                0.81235,                0.43506,                 1.6564,                 1.1265,                 2.0058,               0.008284,               0.008284,               0.008284
                     54,                 1.0846,                 1.0921,                 1.4723,                0.82512,                0.71139,                0.80638,                0.46544,                 1.5064,                 1.2053,                 1.8641,               0.008251,               0.008251,               0.008251
                     55,                 1.0844,                 1.0996,                 1.4545,                0.91076,                0.80217,                0.87707,                0.47387,                 1.5364,                 1.0688,                 1.9169,               0.008218,               0.008218,               0.008218
                     56,                 1.0869,                 1.0497,                 1.4589,                 0.7032,                0.79943,                0.81713,                0.42827,                 1.6689,                  1.479,                 2.0383,               0.008185,               0.008185,               0.008185
                     57,                 1.0734,                 1.0709,                 1.4512,                0.75035,                0.81534,                0.84044,                0.49581,                 1.4291,                 1.0407,                  1.756,               0.008152,               0.008152,               0.008152
                     58,                 1.0327,                 1.0213,                 1.4105,                0.72719,                0.71763,                0.75595,                0.41134,                 1.7474,                 1.7887,                 2.1795,               0.008119,               0.008119,               0.008119
                     59,                 1.0503,                 1.0289,                 1.4296,                0.86303,                0.79194,                0.83816,                0.50962,                 1.5481,                 1.2435,                 1.8507,               0.008086,               0.008086,               0.008086
                     60,                 1.0529,                 1.0533,                 1.4413,                0.80187,                0.65096,                0.73885,                0.43688,                 1.4804,                 1.2176,                 1.8397,               0.008053,               0.008053,               0.008053
                     61,                 1.0477,                 1.0183,                 1.4366,                0.68442,                0.73227,                0.75738,                0.42994,                 1.4925,                 1.2118,                 1.8437,                0.00802,                0.00802,                0.00802
                     62,                 1.0419,                 1.0357,                  1.425,                0.85743,                0.73331,                0.83476,                0.50574,                 1.4065,                 1.4876,                 1.7665,               0.007987,               0.007987,               0.007987
                     63,                 1.0495,                 1.0451,                 1.4321,                0.83942,                0.79958,                0.86496,                 0.5069,                 1.4557,                 1.0444,                 1.7951,               0.007954,               0.007954,               0.007954
                     64,                  1.043,                 1.0402,                 1.4236,                0.80005,                0.71881,                0.80135,                0.43558,                 1.5662,                 1.1283,                 1.8908,               0.007921,               0.007921,               0.007921
                     65,                 1.0506,                 1.0186,                 1.4388,                0.80773,                0.81869,                0.87657,                0.48041,                 1.4451,                 1.0894,                 1.8058,               0.007888,               0.007888,               0.007888
                     66,                 1.0279,                  1.005,                 1.4147,                0.81217,                0.81908,                0.83384,                  0.453,                 1.5495,                 1.0388,                 1.8876,               0.007855,               0.007855,               0.007855
